ArchivalInfoSource	LakeAbsoluteHeight	LakeId	LakeLength	LakeMaxDepth	LakeMirrorArea	LakeShorelineLength	LakeWaterMass	LakeWidth	SurveyYear
Филонец П.П., Омаров Т.Р. Озера Центрального и южного Казахстана (Справочник). – Алма-Ата: Из-во Наука Казахской ССР, 1973. – 198 с.	161.6	100730	4.3	4.5	2	11.6	4.1	0.7	1956
Филонец П.П., Омаров Т.Р. Озера Центрального и южного Казахстана (Справочник). – Алма-Ата: Из-во Наука Казахской ССР, 1973. – 198 с.	345	200210	2.1	4.5	1.98	6.7	4	1.1	1956
Филонец П.П., Омаров Т.Р. Озеро северного, западного и восточного Казахстана (Справочник). – Л.: Гидрометеоиздат, 1974. – 138 с.	128.6	400150	1.9	3.3	2.12	5.6	4	1.3	1944
Филонец П.П., Омаров Т.Р. Озеро северного, западного и восточного Казахстана (Справочник). – Л.: Гидрометеоиздат, 1974. – 138 с.	134.7	400760	1.8	3.5	0	5.3	4	1.5	1944
Филонец П.П., Омаров Т.Р. Озеро северного, западного и восточного Казахстана (Справочник). – Л.: Гидрометеоиздат, 1974. – 138 с.	351.2	403330	2.8	1.8	0	8.4	4	2.1	1956
Филонец П.П., Омаров Т.Р. Озеро северного, западного и восточного Казахстана (Справочник). – Л.: Гидрометеоиздат, 1974. – 138 с.	194	701360	3	1	0	9.6	4	2.7	1958
Филонец П.П., Омаров Т.Р. Озеро северного, западного и восточного Казахстана (Справочник). – Л.: Гидрометеоиздат, 1974. – 138 с.	121.2	301700	2.8	2.6	4.01	9.6	4	1.8	1945
Филонец П.П., Омаров Т.Р. Озеро северного, западного и восточного Казахстана (Справочник). – Л.: Гидрометеоиздат, 1974. – 138 с.	158.8	402390	12.4	1.5	0	45.1	38.7	7.2	1943
Филонец П.П., Омаров Т.Р. Озера Центрального и южного Казахстана (Справочник). – Алма-Ата: Из-во Наука Казахской ССР, 1973. – 198 с.	359.9	200320	4.2	6	9.49	11.2	37.7	3	196
Филонец П.П., Омаров Т.Р. Озеро северного, западного и восточного Казахстана (Справочник). – Л.: Гидрометеоиздат, 1974. – 138 с.	357.8	402560	8.9	14.5	0	31.7	368	7.9	1945
Филонец П.П., Омаров Т.Р. Озеро северного, западного и восточного Казахстана (Справочник). – Л.: Гидрометеоиздат, 1974. – 138 с.	355	602250	6.5		0	18.7	36.4	3.6	1958
Филонец П.П., Омаров Т.Р. Озеро северного, западного и восточного Казахстана (Справочник). – Л.: Гидрометеоиздат, 1974. – 138 с.	320.9	404340	4.5	5.7	0	13.6	36.2	3.9	1943
Филонец П.П., Омаров Т.Р. Озеро северного, западного и восточного Казахстана (Справочник). – Л.: Гидрометеоиздат, 1974. – 138 с.	452.7	302560	4.5	7.9	7.08	15	35.2	2.6	
Филонец П.П., Омаров Т.Р. Озеро северного, западного и восточного Казахстана (Справочник). – Л.: Гидрометеоиздат, 1974. – 138 с.	426.8	404480	5.7	3.5	0	15.2	35	3.9	1945
Филонец П.П., Омаров Т.Р. Озеро северного, западного и восточного Казахстана (Справочник). – Л.: Гидрометеоиздат, 1974. – 138 с.	235.5	402480	5.65	3.2	0	16.8	34	4.3	1958
Филонец П.П., Омаров Т.Р. Озеро северного, западного и восточного Казахстана (Справочник). – Л.: Гидрометеоиздат, 1974. – 138 с.	311.9	404740	6.9	2.2	0	19.6	32.9	4.1	1943
Филонец П.П., Омаров Т.Р. Озеро северного, западного и восточного Казахстана (Справочник). – Л.: Гидрометеоиздат, 1974. – 138 с.	298.8	403270	6.3	2.3	0	20.1	32	4.3	1942
Филонец П.П., Омаров Т.Р. Озера Центрального и южного Казахстана (Справочник). – Алма-Ата: Из-во Наука Казахской ССР, 1973. – 198 с.	345	200050	5.6	3.9	10.91	19.9	31.7	3.5	1956
Филонец П.П., Омаров Т.Р. Озеро северного, западного и восточного Казахстана (Справочник). – Л.: Гидрометеоиздат, 1974. – 138 с.	94.9	701070	8.2	2.6	0	36.9	30.5	4.1	1944
Филонец П.П., Омаров Т.Р. Озеро северного, западного и восточного Казахстана (Справочник). – Л.: Гидрометеоиздат, 1974. – 138 с.	223.5	404200	5.35	3.1	0	15.2	30	3.6	1943
Филонец П.П., Омаров Т.Р. Озеро северного, западного и восточного Казахстана (Справочник). – Л.: Гидрометеоиздат, 1974. – 138 с.	137.4	400500	2	2.6	0	5.7	3.8	1.4	1944
Филонец П.П., Омаров Т.Р. Озеро северного, западного и восточного Казахстана (Справочник). – Л.: Гидрометеоиздат, 1974. – 138 с.	333.6	403860	4.3	0.9	0	10.3	3.8	2.2	1958
Филонец П.П., Омаров Т.Р. Озеро северного, западного и восточного Казахстана (Справочник). – Л.: Гидрометеоиздат, 1974. – 138 с.	129	400100	1.5	3.12	0	4.6	3.7	1.2	1943
Филонец П.П., Омаров Т.Р. Озеро северного, западного и восточного Казахстана (Справочник). – Л.: Гидрометеоиздат, 1974. – 138 с.	379	303390	3.2	1.5	3.86	11	3.7	1.6	1957
Филонец П.П., Омаров Т.Р. Озера Центрального и южного Казахстана (Справочник). – Алма-Ата: Из-во Наука Казахской ССР, 1973. – 198 с.	441.2	600590	3.2	2.3	3.2	10.3	3.5	1.6	
Филонец П.П., Омаров Т.Р. Озеро северного, западного и восточного Казахстана (Справочник). – Л.: Гидрометеоиздат, 1974. – 138 с.	448	303400	2.1	4.1	1.85	6	3.5	1.3	1957
Филонец П.П., Омаров Т.Р. Озеро северного, западного и восточного Казахстана (Справочник). – Л.: Гидрометеоиздат, 1974. – 138 с.	439.2	403990	2.1	1.6	0	6.2	3.4	1.7	1958
Филонец П.П., Омаров Т.Р. Озеро северного, западного и восточного Казахстана (Справочник). – Л.: Гидрометеоиздат, 1974. – 138 с.	665	303080	2.5	5.6	1.01	6	3.4	0.6	1945
Филонец П.П., Омаров Т.Р. Озера Центрального и южного Казахстана (Справочник). – Алма-Ата: Из-во Наука Казахской ССР, 1973. – 198 с.	343	200120	2.7	2.8	1.6	9.7	3.2	1.1	1956
Филонец П.П., Омаров Т.Р. Озеро северного, западного и восточного Казахстана (Справочник). – Л.: Гидрометеоиздат, 1974. – 138 с.	373.8	403060	2.2	1.6	0	6.4	3.2	1.6	1956
Филонец П.П., Омаров Т.Р. Озеро северного, западного и восточного Казахстана (Справочник). – Л.: Гидрометеоиздат, 1974. – 138 с.	335.8	404140	2.5	1.2	0	7.3	3.2	1.7	1945
Филонец П.П., Омаров Т.Р. Озера Центрального и южного Казахстана (Справочник). – Алма-Ата: Из-во Наука Казахской ССР, 1973. – 198 с.	535.3	600640	1.7	4.5	1.6	4.8	3.2	1.4	1958
Филонец П.П., Омаров Т.Р. Озера Центрального и южного Казахстана (Справочник). – Алма-Ата: Из-во Наука Казахской ССР, 1973. – 198 с.	350.6	200310	4.5	1.75	4.94	13.6	3	1.6	196
Филонец П.П., Омаров Т.Р. Озера Центрального и южного Казахстана (Справочник). – Алма-Ата: Из-во Наука Казахской ССР, 1973. – 198 с.	365	200330	3	1.5	3.14	7.8	3	1.5	1956
Филонец П.П., Омаров Т.Р. Озера Центрального и южного Казахстана (Справочник). – Алма-Ата: Из-во Наука Казахской ССР, 1973. – 198 с.	506	600060	4	2	5.9	9.3	3	1.8	1958
Филонец П.П., Омаров Т.Р. Озеро северного, западного и восточного Казахстана (Справочник). – Л.: Гидрометеоиздат, 1974. – 138 с.	307	705530	5.6	0.6	0	15.6	3	4	1944
Филонец П.П., Омаров Т.Р. Озеро северного, западного и восточного Казахстана (Справочник). – Л.: Гидрометеоиздат, 1974. – 138 с.	167.8	701060	4.2	0.5	0	13	3	3.1	1958
Филонец П.П., Омаров Т.Р. Озера Центрального и южного Казахстана (Справочник). – Алма-Ата: Из-во Наука Казахской ССР, 1973. – 198 с.	58.1	100360	4.4	5	7.3	11.6	29.2	2.4	1943
Филонец П.П., Омаров Т.Р. Озеро северного, западного и восточного Казахстана (Справочник). – Л.: Гидрометеоиздат, 1974. – 138 с.	324.4	402280	13.3	10	0	35.5	279	4.4	1945
Филонец П.П., Омаров Т.Р. Озеро северного, западного и восточного Казахстана (Справочник). – Л.: Гидрометеоиздат, 1974. – 138 с.	309.7	402290	15	15	0	39.6	267	3.7	1945
Филонец П.П., Омаров Т.Р. Озера Центрального и южного Казахстана (Справочник). – Алма-Ата: Из-во Наука Казахской ССР, 1973. – 198 с.	350.5	200010	49.6	4.7	736	182	2661	19.8	196
Филонец П.П., Омаров Т.Р. Озеро северного, западного и восточного Казахстана (Справочник). – Л.: Гидрометеоиздат, 1974. – 138 с.	397.5	404600	7.2	28.4	0	20.3	265	3.7	1943
Филонец П.П., Омаров Т.Р. Озеро северного, западного и восточного Казахстана (Справочник). – Л.: Гидрометеоиздат, 1974. – 138 с.	131.3	302110	3.8	6.6	6.78	9.6	26.4	2.6	1945
Филонец П.П., Омаров Т.Р. Озера Центрального и южного Казахстана (Справочник). – Алма-Ата: Из-во Наука Казахской ССР, 1973. – 198 с.	484.9	600660	8		16.16	23.8	25	3.9	1958
Филонец П.П., Омаров Т.Р. Озеро северного, западного и восточного Казахстана (Справочник). – Л.: Гидрометеоиздат, 1974. – 138 с.	405.3	303430	9	3.5	15.3	30.5	24.9	2.6	1945
Филонец П.П., Омаров Т.Р. Озеро северного, западного и восточного Казахстана (Справочник). – Л.: Гидрометеоиздат, 1974. – 138 с.	157.2	700740	10.8	1.5	0	30.8	24.8	4	1944
Филонец П.П., Омаров Т.Р. Озеро северного, западного и восточного Казахстана (Справочник). – Л.: Гидрометеоиздат, 1974. – 138 с.	429.9	402930	4.4	3.9	0	13.4	24.6	3	1945
